共 405 题
1. [单] 依据配电安规，（ ）及电容器接地前应逐相充分放电。 || 选:避雷器 / 电缆 / 导线 / 变压器 || 答:B
16. [单] 依据配电安规，高压开关柜内手车开关拉出后，隔离带电部位的挡板应可靠封闭，不应开启，并设置（ ）标示牌。 || 选:“止步，高压危险！” / “禁止合闸，有人工作！” / “禁止合闸，线路有人工作！” / “当心触电！” || 答:A
17. [单] 依据配电安规，高压配电（含相关场所及二次系统）工作，工作人员在工作中正常活动范围与邻近带电高压线路或设备带电部分的距离大于表2规定，不需要将高压线路、设备停电或做安全措施者，填用配电第二种工作票。20kV、35 kV安全距离为（ ） || 选:0.5m / 1.0m / 0.4m / 0.7m || 答:B
18. [单] 依据配电安规，高压手车开关拉出后，（ ）应可靠封闭。 || 选:绝缘挡板 / 柜门 / 箱盖 / 隔离挡板 || 答:D
19. [单] 依据配电安规，高压验电前，验电器应先在高压有电设备上试验，验证验电器良好；无法在有电设备上试验时，可用（ ）高压发生器等确证验电器良好。 || 选:工频 / 高频 / 中频 / 低频 || 答:A
20. [单] 依据配电安规，高压验电时，使用伸缩式验电器，（ ）应拉到位，验电时手应握在手柄处，不应超过护环，应戴绝缘手套。 || 选:绝缘棒 / 验电器 / 接地线 / 绝缘绳 || 答:A
21. [单] 依据配电安规，工作地点有可能误登、误碰的邻近带电设备，应根据设备运行环境悬挂（ ）等标示牌。 || 选:“止步，高压危险！” / “禁止攀登，高压危险！” / “从此上下！” / “有电危险！” || 答:A
22. [单] 依据配电安规，工作地段所有由工作班自行装设的接地线拆除后，工作负责人应及时向相关工作许可人（含配合停电线路、设备许可人）报告（ ）。 || 选:工作票结束 / 工作票终结 / 工作结束 / 工作终结 || 答:D
23. [单] 依据配电安规，工作负责人发出开始工作的命令前，应得到（ ）的许可，完成由其负责的安全措施，并确认工作票所列当前工作所需的安全措施已全部完成。 || 选:现场工作许可人 / 配电运维人员 / 全部工作许可人 / 值班调控人员 || 答:C
24. [单] 依据配电安规，工作负责人若需长时间离开工作现场，应由（ ）变更工作负责人，履行变更手续，并告知全体工作班成员及所有工作许可人。原、现工作负责人应履行必要的交接手续，并在工作票上签名确认。 || 选:现工作票签发人 / 原工作票签发人 / 工作许可人 / 工作票签发人 || 答:B
25. [单] 依据配电安规，工作负责人应由有本专业工作经验、熟悉工作班成员的安全意识和工作能力、熟悉工作范围内的设备情况、熟悉本文件，并经（ ）批准的人员担任，名单应公布。 || 选:工区（车间） / 单位 / 上级单位 / 公司 || 答:A
26. [单] 依据配电安规，工作票一份由工作负责人收执，其余留存于（ ）处。 || 选:工作票签发人或专责监护人 / 工作票签发人或工作许可人 / 工作许可人或用户负责人 / 工作许可人或专责监护人 || 答:B
27. [单] 依据配电安规，工作票执行前，应由（ ）审核，手工或电子签发。 || 选:值班调控人员 / 工作票签发人 / 工作许可人 / 运维人员 || 答:B
28. [单] 依据配电安规，工作票只能延期（ ）。延期手续应记录在工作票上。 || 选:一次 / 两次 / 三次 / 四次 || 答:A
29. [单] 依据配电安规，工作期间，工作负责人若需暂时离开工作现场，应指定能胜任的人员临时代替，离开前应将工作现场交待清楚，并告知（ ）。 || 选:被监护人员 / 部分工作班成员 / 全体工作班成员 / 专责监护人 || 答:C
30. [单] 依据配电安规，工作任务单由工作负责人许可，一份由工作负责人留存，一份交（ ）。 || 选:工作票签发人 / 工作许可人 / 小组负责人 / 运维负责人 || 答:C
31. [单] 依据配电安规，供电单位或施工单位到用户工程或设备上检修（施工）时，工作票应由有权签发的（ ）签发。 || 选:供电单位 / 用户单位、施工单位或供电单位 / 用户单位或供电单位 / 施工单位或用户单位 || 答:B
32. [单] 依据配电安规，机具和电力安全工器具入库、出库、使用前应（ ），不应使用损坏、变形、有故障等不合格的机具和安全工器具。 || 选:检查 / 试验 / 鉴定 / 擦拭 || 答:A
33. [单] 依据配电安规，检修联络用的断路器（开关）、隔离开关（刀闸），应在其（ ）验电。 || 选:来电侧 / 受电侧 / 电源侧 / 两侧 || 答:D
34. [单] 依据配电安规，接地线的两端夹具应保证接地线与导体和接地装置都能接触良好、拆装方便，有足够的（ ），并在大短路电流通过时不致松脱，长度应满足工作现场需要。 || 选:机械强度 / 耐压强度 / 通流能力 / 拉伸能力 || 答:A
35. [单] 依据配电安规，接接地线应接触良好、连接可靠，使用专用的线夹固定在导体上，不应用（ ）的方法接地或短路。 || 选:压接 / 缠绕 / 固定 / 熔接 || 答:B
36. [单] 依据配电安规，开工前，工作负责人或工作票签发人应重新核对现场勘察情况，发现与原勘察情况有变化时，应修正、完善相应的（ ）。 || 选:施工方案 / 组织措施 / 技术措施 / 安全措施 || 答:D
37. [单] 依据配电安规，明确被监护人员和（ ）是专责监护人的安全责任。 || 选:许可工作的命令正确 / 工作必要性 / 监护范围 / 安全注意事项 || 答:C
38. [单] 依据配电安规，配电设备检修，若无法保证安全距离或因工作特殊需要，可用与带电部分直接接触的（ ）隔板代替临时遮栏。 || 选:绝缘 / 木质 / 塑料 / 泡沫 || 答:A
39. [单] 依据配电安规，配电线路、设备检修，在显示屏上断路器（开关）或（ ）的操作处应设置“禁止合闸，有人工作！”或“禁止合闸，线路有人工作！”以及“禁止分闸！”标记。 || 选:接地刀闸 / 母线刀闸 / 隔离开关（刀闸） / 保护压板 || 答:C
40. [单] 依据配电安规，任何人发现有违反本文件的情况，应立即制止，经（ ）后才能恢复作业。 || 选:上级领导同意 / 处罚 / 批评教育 / 纠正 || 答:D
41. [单] 依据配电安规，若一张工作票下设多个小组工作，工作负责人应指定每个小组的小组负责人（监护人），并使用（ ）。 || 选:配电工作任务单 / 安全措施票 / 派工单 / 工作任务卡 || 答:A
42. [单] 依据配电安规，所有吊物孔、没有盖板的孔洞、楼梯和平台，应装设不低于1050mm高的栏杆和不低于100mm高的护板。检修作业，若需将栏杆拆除时，应装设（ ），并在检修作业结束时立即将栏杆装回。 || 选:临时遮栏 / 固定遮栏 / 安全警示牌 / 安全警示灯 || 答:A
43. [单] 依据配电安规，填用配电（ ）工作票的配电线路工作，可不履行工作许可手续。 || 选:第一种 / 第二种 / 低压 / 带电作业 || 答:B
44. [单] 依据配电安规，无法直接验电的设备，应（ ），即通过设备的机械位置指示、电气指示、带电显示装置、仪表及各种遥测、遥信等信号的变化来判断。 || 选:接地 / 拆除 / 间接验电 / 断开电源 || 答:C
45. [单] 依据配电安规，现场勘察工作，对涉及（ ）的作业项目，应由项目主管部门、单位组织相关人员共同参与。 || 选:多专业、多部门 / 多部门、多单位 / 多专业、多单位 / 多专业、多部门、多单位 || 答:D
46. [单] 依据配电安规，现场使用的机具、电力安全工器具应经（ ）。 || 选:厂家认证 / 检验合格 / 领导批准 / 会议讨论 || 答:B
47. [单] 依据配电安规，星形接线电容器的中性点应（ ）。 || 选:停电 / 验电 / 接地 / 短路 || 答:C
48. [单] 依据配电安规，需要（ ）操作设备的配电带电作业工作票和需要办理工作许可手续的配电第二种工作票、低压工作票，应至少在工作前一天送达设备运维管理单位（包括信息系统送达）。 || 选:带电作业人员 / 运维人员 / 监控人员 / 值班调控人员 || 答:B
49. [单] 依据配电安规，需要进入变电站或发电厂升压站进行架空线路、电缆等工作时，应增填工作票份数（按许可单位确定数量），分别经（ ）许可，并留存。 || 选:变电站或发电厂等设备运维管理单位的工作许可人 / 调控中心 / 设备运维管理单位负责人 / 变电站或发电厂负责人 || 答:A
50. [单] 依据配电安规，一回线路检修（施工），邻近或交叉的其他电力线路需配合停电和接地时，应在工作票中列入（ ）。 || 选:安全措施 / 相应的安全措施 / 技术措施 / 相应的技术措施 || 答:B
51. [单] 依据配电安规，已终结的工作票（含工作任务单）、故障紧急抢修单、现场勘察记录至少应保存（ ）。 || 选:3个月 / 半年 / 1年 / 2年 || 答:C
52. [单] 依据配电安规，由工作班组现场操作时，若不填用操作票，应将设备的双重名称，（ ），停电及送电操作和操作后检查内容等按操作顺序填写在工作票上。 || 选:设备名称和编号 / 线路的名称、杆号、位置 / 双重称号 / 设备名称 || 答:B
53. [单] 依据配电安规，由于设备原因，（ ）与检修设备之间连有断路器（开关），在接地刀闸和断路器（开关）合上后，在断路器（开关）的操作处或机构箱门锁把手上，应悬挂“禁止分闸！”标示牌。 || 选:停电设备 / 隔离开关 / 接地刀闸 / 非检修设备 || 答:C
54. [单] 依据配电安规，雨雪天气室外设备宜采用间接验电；若直接验电，应使用（ ），并戴绝缘手套。 || 选:声光验电器 / 高压声光验电器 / 户外型验电器 / 高压验电棒 || 答:C
55. [单] 依据配电安规，在多电源和有自备电源的用户线路的高压系统接入点，应有明显（ ）。 || 选:电气指示 / 机械指示 / 警示标识 / 断开点 || 答:D
56. [单] 依据配电安规，在绝缘导线所有电源侧及适当位置（如支接点、耐张杆处等）、柱上变压器高压引线，应装设（ ）或其他验电、接地装置。 || 选:验电环 / 接地环 / 带电显示器 / 验电接地环 || 答:D
57. [单] 依据配电安规，柱上断路器应有分、合位置的（ ）指示。 || 选:机械 / 电气 / 仪表 / 带电 || 答:A
58. [单] 依据配电安规，专责监护人临时离开时，应通知（ ）停止工作或离开工作现场；专责监护人回来前，不应恢复工作。 || 选:工作班成员 / 作业人员 / 小组负责人 / 被监护人员 || 答:D
59. [单] 依据配电安规，专责监护人应由具有相关专业工作经验，熟悉工作范围内的（ ）情况和本文件的人员担任。 || 选:设备 / 现场 / 接线 / 运行 || 答:A
60. [单] 依据配电安规，装设、拆除接地线，监护人应持有（ ）。 || 选:考试合格证 / 书面依据 / 特种作业操作证 / 健康证 || 答:B
61. [单] 依据配电安规，装设于（ ）的配电变压器应设有安全围栏，并悬挂“止步，高压危险！”等标示牌。 || 选:室外 / 室内 / 柱上 / 地面 || 答:D
62. [单] 依据配电安规，装有SF6设备的配电站，应装设强力通风装置，风口应设置在（ ），其电源开关应装设在门外或门内的入口处。 || 选:室内中部 / 室内顶部 / 室内底部 / 室内电缆通道 || 答:C
63. [单] 依据配电安规，自制或改装以及主要部件更换或检修后的机具，使用前应按其用途依据国家相关标准进行（ ），经鉴定合格。 || 选:科技试验 / 型式试验 / 外观检验 / 统一清洗 || 答:B
64. [单] 依据配电安规，作业前，应做好（ ）。 || 选:安全风险防控 / 安全风险辨识 / 安全风险处置 / 安全风险治理 || 答:B
65. [单] 依据配电安规，作业人员不应擅自变更工作票中指定的接地线位置，若需变更，应由工作负责人征得（ ）同意，并在工作票上注明变更情况。 || 选:工作许可人或专责监护 / 工作许可人或小组负责人 / 工作票签发人或专责监护人 / 工作票签发人或工作许可人 || 答:D
66. [单] 依据配电安规，作业人员不应越过（ ）的线路对上层、远侧线路进行验电。 || 选:未停电 / 未经验电、接地 / 未经验电 / 未停电、接地 || 答:B
67. [单] 依据配电安规，作业人员对本文件应每年考试一次。因故间断电气工作连续（ ）及以上者，恢复工作前应重新学习本文件，并经考试合格。 || 选:一个月 / 两个月 / 三个月 / 六个月 || 答:C
68. [单] 依据配电安规，作业人员应经医师鉴定，无妨碍工作的病症，体格检查每（ ）至少一次。 || 选:半年 / 一年 / 两年 / 三年 || 答:C
69. [单] 依据配电安规，作业人员应具备必要的电气知识和业务技能，按工作性质，熟悉本文件的相关部分，并经（ ）合格。 || 选:培训 / 口试 / 考试 / 鉴定 || 答:C
70. [单] 依据配电安规，作业人员应正确佩戴和使用劳动防护用品。进入作业现场应正确佩戴安全帽，现场作业人员还应穿（ ）、绝缘鞋。 || 选:绝缘服 / 屏蔽服 / 防静电服 / 全棉长袖工作服 || 答:D
71. [多] 依据配电安规，（ ）认为有必要现场勘察的配电检修（施工）作业和用户工程、设备上的工作，应根据工作任务组织现场勘察，并填写现场勘察记录。 || 选:工作票签发人 / 工作许可人 / 工作负责人 / 专责监护人 || 答:AC
72. [多] 依据配电安规，安全帽使用前，应检查（ ）等组件完好无缺失。 || 选:帽壳 / 帽衬（帽箍、吸汗带、缓冲垫及衬带） / 帽箍扣 / 下颏带 || 答:ABCD
73. [多] 依据配电安规，按口头、电话命令执行的工作应留有（ ）。 || 选:录像 / 电子派工记录 / 录音 / 书面派工记录 || 答:CD
74. [多] 依据配电安规，地下配电站，宜装设（ ）装置，配备足够数量的消防器材或安装自动灭火系统。 || 选:测温 / 通风 / 排水 / 除湿 || 答:BC
75. [多] 依据配电安规，登高板钩子不得有（ ），心型环完整、下部有插花，绳索无断股、霉变或严重磨损。 || 选:裂纹 / 脏污 / 变形 / 严重锈蚀 || 答:ACD
76. [多] 依据配电安规，低压配电线路和设备检修，应断开所有可能来电的电源（包括解开电源侧和用户侧连接线），对工作中有可能触碰的相邻低压带电线路和设备应采取（ ）措施。 || 选:停电 / 绝缘遮蔽 / 可靠 / 装设遮栏 || 答:AB
77. [多] 依据配电安规，电力安全工器具应定期进行检查，每次使用前还应进行外观检查，确认绝缘部分（ ）等现象以及固定连接部分无松动、无锈蚀、无断裂等现象。检查有疑问时，使用前应经试验合格。 || 选:无裂纹 / 无老化 / 无绝缘层脱落 / 无严重的机械或电灼伤痕 || 答:ABCD
78. [多] 依据配电安规，电力安全工器具应通过（ ）。 || 选:国家规定的型式试验 / 行业标准规定的型式试验 / 出厂试验 / 预防性试验 || 答:ABCD
79. [多] 依据配电安规，电力安全工器具运输或存放在车辆上时，不应与酸、碱、油类和化学药品接触，并有（ ）的措施。 || 选:防晒 / 防滑 / 防损伤 / 防绝缘性能破坏 || 答:CD
80. [多] 依据配电安规，电子信息包括使用（ ）等方式传递的数字化的文字、图像、音频、视频等信息。 || 选:即时通信 / 短信 / 微博 / 电子邮件 || 答:ABD
81. [多] 依据配电安规，对于因（ ）带电线路、设备导致检修线路或设备可能产生感应电压时，应加装接地线或使用个人保安线。 || 选:交叉跨越 / 接触 / 平行 / 邻近 || 答:ACD
82. [多] 依据配电安规，辅助型绝缘手套应（ ）。 || 选:质地柔软良好 / 内外表面均应平滑、完好无损 / 湿润 / 无划痕、裂缝、折缝和孔洞 || 答:ABD
83. [多] 依据配电安规，各单位应发布可单人工作的（ ）。 || 选:人员名单 / 工作任务 / 工作范围 / 人员数量 || 答:AC
84. [多] 依据配电安规，工作地点应停电的线路和设备包括危及线路停电作业安全，且不能采取相应安全措施的（ ）线路。 || 选:交叉跨越 / 平行线路 / 同杆（塔）架设 / 通信线路 || 答:ABC
85. [多] 依据配电安规，工作负责人在转移工作地点时，应逐一向工作人员交待（ ），告知危险点。 || 选:带电部位 / 现场安全措施 / 停电时间 / 其他注意事项 || 答:ABD
86. [多] 依据配电安规，工作间断，若工作班离开工作地点，应采取措施或派人看守，不让人、畜接近（ ）等。 || 选:挖好的基坑 / 未竖立稳固的杆塔 / 负载的起重和牵引机械装置 / 工作地点 || 答:ABC
87. [多] 依据配电安规，工作票、故障紧急抢修单采用手工方式填写时，应使用（ ）填写和签发，至少一式两份。 || 选:黑色的钢（水）笔或圆珠笔 / 红色的钢（水）笔或圆珠笔 / 铅笔 / 蓝色的钢（水）笔或圆珠笔 || 答:AD
88. [多] 依据配电安规，工作票的有效期，以批准的检修时间为限。批准的检修时间为（ ）批准的开工至完工时间。 || 选:运维检修部 / 调度控制中心 / 安监部 / 设备运维管理单位 || 答:BD
89. [多] 依据配电安规，工作票由（ ）填写。 || 选:工作票签发人 / 工作负责人 / 工作许可人 / 专责监护人 || 答:AB
90. [多] 依据配电安规，工作许可人应具备的基本条件有（ ）。 || 选:熟悉配电网接线方式 / 熟悉工作范围内的设备情况 / 熟悉本文件 / 经工区批准，名单应公布 || 答:ABCD
91. [多] 依据配电安规，工作终结报告应按（ ）方式进行。 || 选:当面报告 / 派人送达 / 口头通知 / 电话或电子信息报告，并经复诵或电子信息回复无误。 || 答:AD
92. [多] 依据配电安规，故障紧急抢修工作系指电气设备发生故障被迫紧急停止运行，需短时间内恢复的（ ）故障的工作。 || 选:判断 / 隔离 / 抢修 / 排除 || 答:CD
93. [多] 依据配电安规，环网柜、电缆分支箱等箱式配电设备宜装设（ ）装置。 || 选:操作开关 / 验电 / 接地 / 机械指示 || 答:BC
94. [多] 依据配电安规，机具的（ ）、闭锁机构等安全装置应完好。 || 选:各种监测仪表 / 制动器 / 限位器 / 安全阀 || 答:ABCD
95. [多] 依据配电安规，检修动力电源箱的支路开关、临时电源都应加装剩余电流动作保护装置。剩余电流动作保护装置应定期（ ）。 || 选:检查 / 试验 / 测试动作特性 / 清洁 || 答:ABC
96. [多] 依据配电安规，检修人员（包括工作负责人）不宜（ ）高压配电室、开关站等带电设备区域内。 || 选:单独进入 / 单独滞留在 / 两人进入 / 两人滞留在 || 答:AB
97. [多] 依据配电安规，经常有人工作的场所及施工车辆上宜配备急救箱，存放急救用品，并应指定专人（ ）。 || 选:检查 / 清理 / 补充 / 更换 || 答:ACD
98. [多] 依据配电安规，绝缘杆应光滑，绝缘部分应无（ ）、严重的机械或电灼伤痕。 || 选:气泡 / 皱纹 / 裂纹 / 绝缘层脱落 || 答:ABCD
99. [多] 依据配电安规，可使用其他书面记录、电子信息或按口头、电话命令执行的工作有（ ）。 || 选:测量接地电阻 / 修剪树枝 / 涂写杆塔号、安装标志牌 / 低压分支线的停电工作 || 答:AB
100. [多] 依据配电安规，配电设备的排列布置应便于（ ），并有巡检、逃生的通道。 || 选:操作 / 维护 / 检修 / 运输 || 答:ABC
101. [多] 依据配电安规，配电设备系指20kV及以下配电网中的配电站、开关站、箱式变电站、柱上变压器、柱上开关（包括柱上断路器、柱上负荷开关）、跌落式熔断器、环网单元、（ ）等。 || 选:电缆分支箱 / 低压配电箱 / 电表计量箱 / 充电桩 || 答:ABCD
102. [多] 依据配电安规，配电线路、设备检修，在显示屏上断路器（开关）或隔离开关（刀闸）的操作处应设置（ ）标记。 || 选:“止步，高压危险！” / “禁止合闸，有人工作！” / “禁止合闸，线路有人工作！” / “禁止分闸！” || 答:BCD
103. [多] 依据配电安规，配电站、开关站的户外高压配电线路、设备在跨越人行过道或作业区时，若10、20kV裸露的导电部分对地高度分别小于2.7、2.8m，该裸露部分（ ）应装设护网。 || 选:上部 / 底部 / 中部 / 两侧 || 答:BD
104. [多] 依据配电安规，配电站户外高压设备部分停电检修或新设备安装，应在工作地点（ ）。 || 选:四周装设围栏 / 出入口要围至邻近道路旁边 / 出入口设有“从此进出！”标示牌 / 出入口设有“止步，高压危险！”标示牌 || 答:ABC
105. [多] 依据配电安规，若配电站户外高压设备大部分停电，只有个别地点保留有带电设备而其他设备无触及带电导体的可能时，（ ）。 || 选:可以在带电设备四周装设全封闭围栏 / 围栏上悬挂适当数量的“止步，高压危险！”标示牌 / 标示牌应朝向围栏外面 / 标示牌应朝向围栏里面 || 答:ABC
106. [多] 依据配电安规，室内（ ），应设有明显标志的永久性隔离挡板（护网）。 || 选:母线分段部分 / 母线交叉部分 / 母线平行部分 / 部分停电检修易误碰有电设备的 || 答:ABD
107. [多] 依据配电安规，书面记录包括（ ）等。 || 选:作业指导书（卡） / 派工单 / 任务单 / 工作记录 || 答:ABCD
108. [多] 依据配电安规，停电时应拉开隔离开关（刀闸），手车开关应拉至（ ）位置，使停电的线路和设备各端都有明显断开点。 || 选:试验 / 合闸 / 工作 / 检修 || 答:AD
109. [多] 依据配电安规，同一张工作票多点工作，工作票上的工作地点、（ ）应填写完整。工作内容应与工作地点相对应。 || 选:线路名称 / 设备双重名称 / 工作任务 / 安全措施 || 答:ABCD
110. [多] 依据配电安规，围杆钩在脚扣扣体内（ ）；保险装置可靠，防止围杆钩在扣体内脱落。 || 选:结实 / 滑动灵活 / 可靠 / 无卡阻现象 || 答:BCD
111. [多] 依据配电安规，无法直接验电的设备，应间接验电，即通过设备的（ ）及各种遥测、遥信等信号的变化来判断。 || 选:机械位置指示 / 电气指示 / 带电显示装置 / 仪表 || 答:ABCD
112. [多] 依据配电安规，下列选项中属于工作负责人的安全责任有（ ）。 || 选:确认工作票上所列安全措施正确、完备 / 确认工作票所列安全措施正确、完备，符合现场实际条件，必要时予以补充 / 监督工作班成员遵守本文件、正确使用劳动防护用品和安全工器具以及执行现场安全措施 / 监督被监护人员遵守本规程和执行现场安全措施，及时纠正被监护人员的不安全行为 || 答:BC
113. [多] 依据配电安规，下列选项中属于工作票签发人的安全责任有（ ）。 || 选:确认工作必要性和安全性 / 确认工作票所列安全措施正确、完备 / 确认所派工作负责人合适，工作班成员适当、充足 / 正确、安全地组织工作 || 答:ABC
114. [多] 依据配电安规，下列选项中属于工作许可人的安全责任有（ ）。 || 选:确认工作票所列安全措施正确、完备，符合现场实际条件，必要时予以补充 / 确认由其负责的安全措施正确实施 / 确认由其负责的停、送电和许可工作的命令正确 / 正确、安全地组织工作 || 答:BC
115. [多] 依据配电安规，现场勘察后，现场勘察记录应送交（ ）及相关各方，作为填写、签发工作票等的依据。对危险性、复杂性和困难程度较大的作业项目，应制订有针对性的施工方案。 || 选:工作票签发人 / 工作许可人 / 工作负责人 / 施工负责人 || 答:AC
116. [多] 依据配电安规，现场勘察应查看检修（施工）作业需要停电的范围、保留的带电部位、装设接地线的位置、（ ）、多电源、自备电源、有可能反送电的设备和分支线、地下管线设施和作业现场的条件、环境及其他影响作业的危险点，并提出针对性的安全措施和注意事项。 || 选:平行线路 / 邻近线路 / 交叉跨越 / 用户配变 || 答:BC
117. [多] 依据配电安规，携带型短路接地线使用前应检查确认完好，护套应无孔洞、撞伤、擦伤、裂缝、龟裂等现象，导线（ ）。 || 选:无裸露 / 无松股 / 中间无接头 / 无断股和发黑腐蚀 || 答:ABCD
118. [多] 依据配电安规，运用中的电气设备系指（ ）的电气设备。 || 选:全部带有电压 / 一部分带有电压 / 一经操作即带有电压 / 已安装完毕 || 答:ABC
119. [多] 依据配电安规，在采用（ ）或使用（ ）时，应了解、掌握其安全技术特性，制定相应的安全措施，经本单位批准后执行，并对作业人员进行专门的安全生产教育和培训。 || 选:新技术 / 新工艺 / 新材料 / 新设备 || 答:ABCD
120. [多] 依据配电安规，在配电线路和设备上工作的安全组织措施有（ ）。 || 选:现场勘察制度 / 工作间断、转移制度 / 工作终结制度 / 恢复送电制度 || 答:ABC
121. [多] 依据配电安规，在配电线路和设备上停电工作的安全技术措施有（ ）。 || 选:停电 / 验电 / 接地 / 悬挂标示牌和装设遮栏（围栏） || 答:ABCD
122. [多] 依据配电安规，在一经合闸即可送电到工作地点的（ ），应悬挂“禁止合闸，有人工作！”标示牌；若线路上有人工作，应悬挂“禁止合闸，线路有人工作！”标示牌。 || 选:断路器（开关）和隔离开关（刀闸）的操作处 / 断路器（开关）和隔离开关（刀闸）的机构箱门锁把手上 / 熔断器操作处 / 接地刀闸操作处 || 答:ABC
123. [多] 依据配电安规，在用户设备上工作，许可工作前，工作负责人应检查确认用户设备的（ ）符合作业的安全要求。 || 选:运行状态 / 安全措施 / 操作方法 / 使用说明 || 答:AB
124. [多] 依据配电安规，在原工作票的停电及安全措施范围内增加工作任务时，应由工作负责人征得（ ）同意，并在工作票上增填工作项目。 || 选:工作票签发人 / 工作许可人 / 专责监护人 / 工作班成员 || 答:AB
125. [多] 依据配电安规，装设、拆除接地线均应使用绝缘棒并戴绝缘手套，人体不应碰触（ ）。 || 选:接地线 / 未接地的导线 / 设备 / 线路 || 答:AB
126. [多] 依据配电安规，装设同杆（塔）塔架设的多层电力线路接地线，应（ ）。 || 选:先装设低压、后装设高压 / 先装设下层、后装设上层 / 先装设近侧、后装设远侧 / 先装设高压、后装设低压 || 答:ABC
127. [多] 依据配电安规，作业人员应被告知其作业现场和工作岗位存在的（ ）。 || 选:危险因素 / 设备缺陷 / 防范措施 / 紧急处理措施 || 答:ACD
128. [多] 依据配电安规，作业现场的（ ）等应符合国家、行业有关标准及公司规定，在作业前应确认合格、齐备。 || 选:安全设施 / 施工机具 / 安全工器具 / 劳动防护用品 || 答:ABCD
129. [判] 依据配电安规，安全帽使用时，应将帽箍扣调整到合适的位置，锁紧下颚带，防止工作中前倾后仰或其他原因造成滑落。（ ） || 选:正确 / 错误 || 答:正确
130. [判] 依据配电安规，变更工作负责人或增加工作任务，若工作票签发人和工作负责人无法当面办理，应通过电话联系，并在工作票登记簿和工作票上注明，或在数字化工作票上办理。（ ） || 选:正确 / 错误 || 答:错误
131. [判] 依据配电安规，不需要高压线路、设备停电或做安全措施的配电运维一体工作，可使用其他书面记录、电子信息或按口头、电话命令执行。（ ） || 选:正确 / 错误 || 答:正确
132. [判] 依据配电安规，不应擅自开启直接封闭带电部分的高压配电设备柜门、箱盖、封板等。（ ） || 选:正确 / 错误 || 答:正确
133. [判] 依据配电安规，不应在只经断路器（开关）断开电源且未接地的高压配电线路或设备上工作。（ ） || 选:正确 / 错误 || 答:正确
134. [判] 依据配电安规，采用当面许可的方法许可开始工作的命令时，工作许可人和工作负责人应分别记录许可时间和双方姓名，复诵或电子信息回复核对无误。（ ） || 选:正确 / 错误 || 答:错误
135. [判] 依据配电安规，成套接地线宜存放在专用架上，架上的编号与接地线的编号应一致。（ ） || 选:正确 / 错误 || 答:正确
136. [判] 依据配电安规，承、发包工程，如工作票实行“双签发”，签发工作票时，双方工作票签发人在工作票上分别签名，各自承担相应的安全责任。（ ） || 选:正确 / 错误 || 答:正确
